target_type,target,horizon,pc_count,model,nobs,r2,adj_r2,alpha,l1_ratio
raw_sector_return,Materials,2,13,Ridge,95,0.020855363491059764,-0.1362913065659308,1000.0,
raw_sector_return,Materials,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Materials,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Communication Services,2,13,OLS,95,0.1723937168350791,0.03956801706786961,,
raw_sector_return,Communication Services,2,13,Ridge,95,0.09746625569819412,-0.047384839066293205,177.82794100389228,
raw_sector_return,Communication Services,2,13,Lasso,95,0.0,-0.16049382716049387,0.01467799267622069,
raw_sector_return,Communication Services,2,13,ElasticNet,95,0.0,-0.16049382716049387,0.021544346900318822,0.7
raw_sector_return,Energy,2,13,OLS,95,0.14115316701451042,0.003313551843999618,,
raw_sector_return,Energy,2,13,Ridge,95,0.026304249007147673,-0.12996790855960638,1000.0,
raw_sector_return,Energy,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Energy,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Financials,2,13,OLS,95,0.2012976965759874,0.07311090713756574,,
raw_sector_return,Financials,2,13,Ridge,95,0.10441546292063186,-0.03932032698099497,177.82794100389228,
raw_sector_return,Financials,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Financials,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Industrials,2,13,OLS,95,0.1354468828120582,-0.0033085557489695994,,
raw_sector_return,Industrials,2,13,Ridge,95,0.021339928261359775,-0.1357289721411381,1000.0,
raw_sector_return,Industrials,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Industrials,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Technology,2,13,OLS,95,0.16006662182865394,0.025262499406092154,,
raw_sector_return,Technology,2,13,Ridge,95,0.02314069525216078,-0.13363919316415918,1000.0,
raw_sector_return,Technology,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Technology,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Consumer Staples,2,13,OLS,95,0.07104584262534774,-0.07804556534836182,,
raw_sector_return,Consumer Staples,2,13,Ridge,95,0.007738886814872559,-0.1515128967827406,1000.0,
raw_sector_return,Consumer Staples,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Consumer Staples,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Real Estate,2,13,OLS,95,0.1251612337100838,-0.015244988040149732,,
raw_sector_return,Real Estate,2,13,Ridge,95,0.014867525902104273,-0.143240155125953,1000.0,
raw_sector_return,Real Estate,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Real Estate,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Utilities,2,13,OLS,95,0.05505153407821106,-0.09660686168701438,,
raw_sector_return,Utilities,2,13,Ridge,95,0.010219706711350085,-0.14863392060658143,1000.0,
raw_sector_return,Utilities,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Utilities,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
raw_sector_return,Health Care,2,13,OLS,95,0.09499224717223509,-0.05025591068901125,,
raw_sector_return,Health Care,2,13,Ridge,95,0.010366151392324996,-0.14846397245828946,1000.0,
raw_sector_return,Health Care,2,13,Lasso,95,0.0,-0.16049382716049387,0.01,
raw_sector_return,Health Care,2,13,ElasticNet,95,0.0,-0.16049382716049387,0.021544346900318822,0.5
raw_sector_return,Consumer Discretionary,2,13,OLS,95,0.13449304069117973,-0.004415483642334683,,
raw_sector_return,Consumer Discretionary,2,13,Ridge,95,0.018990463663909996,-0.13845551130361056,1000.0,
raw_sector_return,Consumer Discretionary,2,13,Lasso,95,0.0,-0.16049382716049387,1.0,
raw_sector_return,Consumer Discretionary,2,13,ElasticNet,95,0.0,-0.16049382716049387,1.0,0.1
sector_excess_return,Materials_excess,1,5,OLS,95,0.04536596095357892,-0.008265164835545846,,
sector_excess_return,Materials_excess,1,5,Ridge,95,0.006958079118943972,-0.04883079284066594,1000.0,
sector_excess_return,Materials_excess,1,5,Lasso,95,0.022929072558838803,-0.03196255257830516,0.0031622776601683794,
sector_excess_return,Materials_excess,1,5,ElasticNet,95,0.02637235040769592,-0.02832583215366946,0.0031622776601683794,0.9
sector_excess_return,Communication Services_excess,1,5,OLS,95,0.10976665329123603,0.05975354392557519,,
sector_excess_return,Communication Services_excess,1,5,Ridge,95,0.09839492916087289,0.04774295888901192,31.622776601683793,
sector_excess_return,Communication Services_excess,1,5,Lasso,95,0.06971949451526571,0.017456544768932214,0.0031622776601683794,
sector_excess_return,Communication Services_excess,1,5,ElasticNet,95,0.0672826856668588,0.014882836547019496,0.006812920690579608,0.5
sector_excess_return,Energy_excess,1,5,OLS,95,0.06190625301188024,0.009204357113671291,,
sector_excess_return,Energy_excess,1,5,Ridge,95,0.008128649666169996,-0.04759445990314615,1000.0,
sector_excess_return,Energy_excess,1,5,Lasso,95,0.0,-0.05617977528089879,0.01467799267622069,
sector_excess_return,Energy_excess,1,5,ElasticNet,95,0.0,-0.05617977528089879,0.046415888336127774,0.3
sector_excess_return,Financials_excess,1,5,OLS,95,0.06906542058445442,0.01676572511167096,,
sector_excess_return,Financials_excess,1,5,Ridge,95,0.03882790682829729,-0.015170525372360188,177.82794100389228,
sector_excess_return,Financials_excess,1,5,Lasso,95,0.0,-0.05617977528089879,1.0,
sector_excess_return,Financials_excess,1,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
sector_excess_return,Industrials_excess,1,5,OLS,95,0.0245524555974298,-0.030247968245411316,,
sector_excess_return,Industrials_excess,1,5,Ridge,95,0.0025998361068250153,-0.05343388096582524,1000.0,
sector_excess_return,Industrials_excess,1,5,Lasso,95,0.0,-0.05617977528089879,1.0,
sector_excess_return,Industrials_excess,1,5,ElasticNet,95,0.0,-0.05617977528089879,0.01,0.9
sector_excess_return,Technology_excess,1,5,OLS,95,0.05867875094488595,0.005795534705834604,,
sector_excess_return,Technology_excess,1,5,Ridge,95,0.008558287673372078,-0.0471406849292475,1000.0,
sector_excess_return,Technology_excess,1,5,Lasso,95,0.0,-0.05617977528089879,1.0,
