target_type,target,pc_count,horizon,model,n_oos,start,end,oos_r2,msfe_model,msfe_benchmark,msfe_ratio,directional_accuracy
sector_excess_return,Communication Services_excess,5,2,ElasticNet,33,2023-07-01,2026-03-01,0.087337042807483,0.00044070334037014545,0.00048287633117685913,0.912662957192517,0.5757575757575758
sector_excess_return,Communication Services_excess,10,2,OLS,33,2023-07-01,2026-03-01,-0.13554592990674608,0.0005483282525161843,0.00048287633117685913,1.135545929906746,0.42424242424242425
sector_excess_return,Communication Services_excess,10,2,Ridge,33,2023-07-01,2026-03-01,0.10248121296911084,0.00043339057904378056,0.00048287633117685913,0.8975187870308892,0.48484848484848486
sector_excess_return,Communication Services_excess,10,2,Lasso,33,2023-07-01,2026-03-01,0.043771390184755066,0.00046174016287393383,0.00048287633117685913,0.9562286098152449,0.5151515151515151
sector_excess_return,Communication Services_excess,10,2,ElasticNet,33,2023-07-01,2026-03-01,0.038339883785698636,0.0004643629087566738,0.00048287633117685913,0.9616601162143014,0.5151515151515151
sector_excess_return,Communication Services_excess,13,2,OLS,33,2023-07-01,2026-03-01,-0.3582850592951028,0.0006558837061247618,0.00048287633117685913,1.3582850592951028,0.42424242424242425
sector_excess_return,Communication Services_excess,13,2,Ridge,33,2023-07-01,2026-03-01,0.02691577549902635,0.0004698793402531093,0.00048287633117685913,0.9730842245009736,0.45454545454545453
sector_excess_return,Communication Services_excess,13,2,Lasso,33,2023-07-01,2026-03-01,0.0442325371066028,0.0004615174859401785,0.00048287633117685913,0.9557674628933972,0.45454545454545453
sector_excess_return,Communication Services_excess,13,2,ElasticNet,33,2023-07-01,2026-03-01,0.026836760511890434,0.0004699174947202055,0.00048287633117685913,0.9731632394881096,0.45454545454545453
sector_excess_return,Energy_excess,5,1,OLS,59,2021-06-01,2026-04-01,-0.07518151356179925,0.006565693045235562,0.006106590340718483,1.0751815135617993,0.4576271186440678
sector_excess_return,Energy_excess,5,1,Ridge,59,2021-06-01,2026-04-01,-0.0017559879850970184,0.006117313439986695,0.006106590340718483,1.001755987985097,0.423728813559322
sector_excess_return,Energy_excess,5,1,Lasso,59,2021-06-01,2026-04-01,-0.004148903428039308,0.006131925994316722,0.006106590340718483,1.0041489034280393,0.4406779661016949
sector_excess_return,Energy_excess,5,1,ElasticNet,59,2021-06-01,2026-04-01,-0.008952746855373395,0.006161261098188405,0.006106590340718483,1.0089527468553734,0.4406779661016949
sector_excess_return,Energy_excess,10,1,OLS,59,2021-06-01,2026-04-01,-0.23202236325463366,0.007523455862999904,0.006106590340718483,1.2320223632546337,0.4915254237288136
sector_excess_return,Energy_excess,10,1,Ridge,59,2021-06-01,2026-04-01,0.0020327676538519635,0.006094177061398546,0.006106590340718483,0.997967232346148,0.4406779661016949
sector_excess_return,Energy_excess,10,1,Lasso,59,2021-06-01,2026-04-01,-0.019022549821704704,0.006222753259715542,0.006106590340718483,1.0190225498217047,0.3728813559322034
sector_excess_return,Energy_excess,10,1,ElasticNet,59,2021-06-01,2026-04-01,-0.02552451679473089,0.006262458108428694,0.006106590340718483,1.025524516794731,0.4067796610169492
sector_excess_return,Energy_excess,13,1,OLS,59,2021-06-01,2026-04-01,-0.49269445275146917,0.009115273526816185,0.006106590340718483,1.4926944527514692,0.4406779661016949
sector_excess_return,Energy_excess,13,1,Ridge,59,2021-06-01,2026-04-01,-0.027952041170574704,0.00627728200533408,0.006106590340718483,1.0279520411705747,0.423728813559322
sector_excess_return,Energy_excess,13,1,Lasso,59,2021-06-01,2026-04-01,-0.12350291328506025,0.006860772038035625,0.006106590340718483,1.1235029132850602,0.3728813559322034
sector_excess_return,Energy_excess,13,1,ElasticNet,59,2021-06-01,2026-04-01,-0.12736623357432708,0.006884363752397164,0.006106590340718483,1.127366233574327,0.3728813559322034
sector_excess_return,Energy_excess,5,2,OLS,58,2021-06-01,2026-03-01,-0.02638939720324318,0.006213110003386164,0.006053365340986525,1.0263893972032432,0.5172413793103449
sector_excess_return,Energy_excess,5,2,Ridge,58,2021-06-01,2026-03-01,0.0027988784055832383,0.006036422707452532,0.006053365340986525,0.9972011215944168,0.4482758620689655
sector_excess_return,Energy_excess,5,2,Lasso,58,2021-06-01,2026-03-01,0.0002998037762175221,0.0060515505191984734,0.006053365340986525,0.9997001962237825,0.43103448275862066
sector_excess_return,Energy_excess,5,2,ElasticNet,58,2021-06-01,2026-03-01,-0.004280890586437103,0.006079279135691019,0.006053365340986525,1.004280890586437,0.41379310344827586
sector_excess_return,Energy_excess,10,2,OLS,58,2021-06-01,2026-03-01,-0.18966714986907451,0.007201489892327678,0.006053365340986525,1.1896671498690745,0.5172413793103449
sector_excess_return,Energy_excess,10,2,Ridge,58,2021-06-01,2026-03-01,0.0028460562584236015,0.006036137122673286,0.006053365340986525,0.9971539437415764,0.4827586206896552
sector_excess_return,Energy_excess,10,2,Lasso,58,2021-06-01,2026-03-01,-0.05378963148474902,0.006378973631920743,0.006053365340986525,1.053789631484749,0.4482758620689655
sector_excess_return,Energy_excess,10,2,ElasticNet,58,2021-06-01,2026-03-01,-0.04480434271488032,0.0063245823963024635,0.006053365340986525,1.0448043427148803,0.43103448275862066
sector_excess_return,Energy_excess,13,2,OLS,58,2021-06-01,2026-03-01,-0.24890097301827763,0.00756005386439319,0.006053365340986525,1.2489009730182776,0.5
sector_excess_return,Energy_excess,13,2,Ridge,58,2021-06-01,2026-03-01,-0.0016633158517098678,0.006063433999514379,0.006053365340986525,1.0016633158517099,0.43103448275862066
sector_excess_return,Energy_excess,13,2,Lasso,58,2021-06-01,2026-03-01,0.027265205277739568,0.005888319092343374,0.006053365340986525,0.9727347947222604,0.46551724137931033
sector_excess_return,Energy_excess,13,2,ElasticNet,58,2021-06-01,2026-03-01,0.016224256649279067,0.005955153988102509,0.006053365340986525,0.9837757433507209,0.43103448275862066
sector_excess_return,Financials_excess,5,1,OLS,59,2021-06-01,2026-04-01,-0.19203632066246112,0.001251677184335684,0.0010500327570892119,1.1920363206624611,0.4067796610169492
sector_excess_return,Financials_excess,5,1,Ridge,59,2021-06-01,2026-04-01,-0.1489791255893047,0.0012064657190804895,0.0010500327570892119,1.1489791255893047,0.4067796610169492
sector_excess_return,Financials_excess,5,1,Lasso,59,2021-06-01,2026-04-01,-0.06744729181414733,0.0011208546228710216,0.0010500327570892119,1.0674472918141473,0.4576271186440678
sector_excess_return,Financials_excess,5,1,ElasticNet,59,2021-06-01,2026-04-01,-0.07722007540553388,0.0011311163657699214,0.0010500327570892119,1.0772200754055339,0.4745762711864407
sector_excess_return,Financials_excess,10,1,OLS,59,2021-06-01,2026-04-01,-0.6637977759486378,0.0017470421659182469,0.0010500327570892119,1.6637977759486378,0.5932203389830508
sector_excess_return,Financials_excess,10,1,Ridge,59,2021-06-01,2026-04-01,-0.16251544432306098,0.0012206792971613339,0.0010500327570892119,1.162515444323061,0.559322033898305
sector_excess_return,Financials_excess,10,1,Lasso,59,2021-06-01,2026-04-01,-0.05130469168932272,0.0011039043639553634,0.0010500327570892119,1.0513046916893227,0.4915254237288136
sector_excess_return,Financials_excess,10,1,ElasticNet,59,2021-06-01,2026-04-01,-0.05907204794965781,0.0011120603424646972,0.0010500327570892119,1.0590720479496578,0.4915254237288136
sector_excess_return,Financials_excess,13,1,OLS,59,2021-06-01,2026-04-01,-0.9696591373068248,0.002068206614472244,0.0010500327570892119,1.9696591373068248,0.5084745762711864
