target_type,target,horizon,pc_count,model,pc,coef
raw_sector_return,Financials,1,10,Ridge,PC2,0.0001565719231121198
raw_sector_return,Financials,1,10,Ridge,PC3,-0.0002394242256717954
raw_sector_return,Financials,1,10,Ridge,PC4,7.952004724304593e-05
raw_sector_return,Financials,1,10,Ridge,PC5,5.011240187027159e-06
raw_sector_return,Financials,1,10,Ridge,PC6,0.00042705946954820135
raw_sector_return,Financials,1,10,Ridge,PC7,0.00018992741933271373
raw_sector_return,Financials,1,10,Ridge,PC8,-0.0008590769946576344
raw_sector_return,Financials,1,10,Ridge,PC9,0.0011286134537550098
raw_sector_return,Financials,1,10,Ridge,PC10,-3.784956480879922e-05
raw_sector_return,Financials,1,10,Lasso,PC1,-0.0
raw_sector_return,Financials,1,10,Lasso,PC2,0.0
raw_sector_return,Financials,1,10,Lasso,PC3,-0.0
raw_sector_return,Financials,1,10,Lasso,PC4,0.0
raw_sector_return,Financials,1,10,Lasso,PC5,-0.0
raw_sector_return,Financials,1,10,Lasso,PC6,0.0
raw_sector_return,Financials,1,10,Lasso,PC7,0.0
raw_sector_return,Financials,1,10,Lasso,PC8,-0.0
raw_sector_return,Financials,1,10,Lasso,PC9,0.0
raw_sector_return,Financials,1,10,Lasso,PC10,-0.0
raw_sector_return,Financials,1,10,ElasticNet,PC1,-0.0
raw_sector_return,Financials,1,10,ElasticNet,PC2,0.0
raw_sector_return,Financials,1,10,ElasticNet,PC3,-0.0
raw_sector_return,Financials,1,10,ElasticNet,PC4,0.0
raw_sector_return,Financials,1,10,ElasticNet,PC5,-0.0
raw_sector_return,Financials,1,10,ElasticNet,PC6,0.0
raw_sector_return,Financials,1,10,ElasticNet,PC7,0.0
raw_sector_return,Financials,1,10,ElasticNet,PC8,-0.0
raw_sector_return,Financials,1,10,ElasticNet,PC9,0.0
raw_sector_return,Financials,1,10,ElasticNet,PC10,-0.0
raw_sector_return,Industrials,1,10,OLS,PC1,-0.004393467816214445
raw_sector_return,Industrials,1,10,OLS,PC2,0.0023081721116621295
raw_sector_return,Industrials,1,10,OLS,PC3,0.003340325386709833
raw_sector_return,Industrials,1,10,OLS,PC4,-0.0019488260896513346
raw_sector_return,Industrials,1,10,OLS,PC5,0.00805412161221478
raw_sector_return,Industrials,1,10,OLS,PC6,0.005743718436148431
raw_sector_return,Industrials,1,10,OLS,PC7,0.002705255508830697
raw_sector_return,Industrials,1,10,OLS,PC8,-0.009187425651377664
raw_sector_return,Industrials,1,10,OLS,PC9,0.011320812065470316
raw_sector_return,Industrials,1,10,OLS,PC10,0.003757444088232993
raw_sector_return,Industrials,1,10,Ridge,PC1,-0.0008894333321504902
raw_sector_return,Industrials,1,10,Ridge,PC2,7.274480235955782e-05
raw_sector_return,Industrials,1,10,Ridge,PC3,0.00021464927962576422
raw_sector_return,Industrials,1,10,Ridge,PC4,-4.035145875408303e-05
raw_sector_return,Industrials,1,10,Ridge,PC5,0.0005350203341194142
raw_sector_return,Industrials,1,10,Ridge,PC6,0.0005295434690334871
raw_sector_return,Industrials,1,10,Ridge,PC7,8.551170970002191e-05
raw_sector_return,Industrials,1,10,Ridge,PC8,-0.0006566854560283542
raw_sector_return,Industrials,1,10,Ridge,PC9,0.0008099949060492952
raw_sector_return,Industrials,1,10,Ridge,PC10,0.000301091221848706
raw_sector_return,Industrials,1,10,Lasso,PC1,-0.0
raw_sector_return,Industrials,1,10,Lasso,PC2,0.0
raw_sector_return,Industrials,1,10,Lasso,PC3,0.0
raw_sector_return,Industrials,1,10,Lasso,PC4,-0.0
raw_sector_return,Industrials,1,10,Lasso,PC5,0.0
raw_sector_return,Industrials,1,10,Lasso,PC6,0.0
raw_sector_return,Industrials,1,10,Lasso,PC7,0.0
raw_sector_return,Industrials,1,10,Lasso,PC8,-0.0
raw_sector_return,Industrials,1,10,Lasso,PC9,0.0
